description,category
Doll set purchase,Shopping
City bus daily fare,Transport
Meal prep service health,Health
Mango seasonal buy,Groceries
Frozen vegetables pack,Groceries
Smart meter electricity,Utilities
Heritage walk tour,Entertainment
Stationery set kids,Shopping
Billiards parlour,Entertainment
Street cart payment,Dining
Long route bus fare,Transport
Oil change service,Transport
Intercity wagon fare,Transport
Desi food restaurant,Dining
Personal trainer session,Health
Samosa chat street,Dining
Endoscopy clinic fee,Health
Hospital OPD visit,Health
Tooth extraction fee,Health
Coffee shop work session,Dining
Electricity reconnection,Utilities
Infant shoes buy,Shopping
Weight loss clinic fee,Health
Clutch plate replace,Transport
Pancake breakfast cafe,Dining
Meal deal fast food,Dining
Amusement park ride,Entertainment
Delivery bike fuel,Transport
Herbal medicine shop,Health
Monthly utility top up,Utilities
Coffee jar purchase,Groceries
Rickshaw school drop,Transport
Denture fitting fee,Health
Annual gym membership,Health
Sui gas quarterly bill,Utilities
Cinema movie ticket,Entertainment
Degree attestation fee,Education
Imtiaz superstore purchase,Groceries
Bluetooth speaker buy,Shopping
Halwa puri breakfast,Dining
Baby clothing purchase,Shopping
Dinner set online order,Shopping
Cooking essentials buy,Groceries
Blood glucose monitor,Health
Crutches rental fee,Health
Craft fair entry,Entertainment
Fuel additive purchase,Transport
Recorded lecture buy,Education
Seminar ticket buy,Education
Live music concert,Entertainment
Butcher shop meat,Groceries
Health insurance premium,Health
Chai dhaba payment,Dining
Eye glasses purchase,Health
NTS test fee,Education
Swimming pool entry,Entertainment
Water bill payment,Utilities
Online gaming purchase,Entertainment
Kitchen appliance buy,Shopping
Cholesterol home test,Health
Artificial intelligence course,Education
Scientific calculator buy,Education
Water bottle kids,Shopping
Suzuki mehran service,Transport
Shared van ride,Transport
Dinner takeaway home,Dining
Utility Stores Corporation,Groceries
Stitches removal fee,Health
Dry fruit shop purchase,Groceries
Allergy skin test,Health
Presentation board buy,Education
Energy drink grocery,Groceries
Drone flying session,Entertainment
Roof seepage fix,Utilities
Crayons and coloring,Shopping
Lottery ticket purchase,Entertainment
Laptop new purchase,Shopping
USB drive purchase,Shopping
Washing machine repair,Utilities
Keyboard and mouse set,Shopping
Academy monthly fee,Education
Thai cuisine dinner,Dining
Insurance premium car,Transport
School uniform purchase,Education
Pilates session fee,Health
Dhabba lunch meal,Dining
Iftar dinner restaurant,Dining
Bike service workshop,Transport
Gulab jamun shop,Dining
Zip line activity,Entertainment
Highway driving class,Transport
Cheese block purchase,Groceries
Solar maintenance service,Utilities
Local sabzi mandi purchase,Groceries
Cricket kit purchase,Shopping
Stitches dressing,Health
SAT exam registration,Education
Guest lecture fee,Education
Security camera service,Utilities
Canteen snack purchase,Dining
Bootcamp registration,Education
Kite flying event,Entertainment
Headlight bulb replace,Transport
Building blocks toy,Shopping
Card game purchase,Entertainment
Night guard dental,Health
Plumber repair service,Utilities
Comedy club night,Entertainment
Guided museum tour,Entertainment
Gym wear order,Shopping
Cooking oil purchase,Groceries
Open university enroll,Education
Scarf and stole shop,Shopping
Online fashion order,Shopping
Skill development workshop,Education
Number plate fee,Transport
Speech therapy session,Health
Dermatology appointment,Health
Cycle repair shop,Transport
Road safety course,Transport
Boiler service charge,Utilities
Brunch weekend outing,Dining
Sunglasses store,Shopping
Martial arts class,Education
Card game tournament,Entertainment
Gaming cafe session,Entertainment
Headphones purchase,Shopping
Cast removal clinic,Health
Mung beans grocery,Groceries
Gola ganda stall,Dining
Gul Ahmed unstitched,Shopping
Dates purchase bulk,Groceries
Luggage bag purchase,Shopping
Fiber optic connection fee,Utilities
Camping gear buy,Shopping
Kidney stone scan,Health
Orthopedic cast fee,Health
Lunch at canteen,Dining
KWSB water bill,Utilities
HBO max monthly,Entertainment
Towel set purchase,Shopping
Cycling event entry,Entertainment
SEO training session,Education
Cockroach treatment,Utilities
Braces adjustment fee,Health
Chinese restaurant family dinner,Dining
Printer buy office,Shopping
Golf course booking,Entertainment
Diet plan consultation,Health
Milk and bread shop,Groceries
Pipe insulation cost,Utilities
Spoken word event,Entertainment
Formal suit purchase,Shopping
Drive through order,Dining
Cafe barbera coffee,Dining
Belt shop purchase,Shopping
Shoes purchase store,Shopping
Urine test lab,Health
IESCO power bill,Utilities
Anniversary dinner outing,Dining
Cold coffee cafe,Dining
Sky diving booking,Entertainment
Binding and lamination,Education
Fish and chips order,Dining
Mustard sauce buy,Groceries
Nutella jar grocery,Groceries
Pasta and sauce grocery,Groceries
Laser tag activity,Entertainment
Yoga class enrollment,Health
Nayatel internet payment,Utilities
Midnight snack order,Dining
Zomato food delivery order,Dining
Home essentials grocery,Groceries
Liver function test,Health
Dance class booking,Entertainment
Comprehensive car cover,Transport
Paratha breakfast dhaba,Dining
AWS certification fee,Education
Grocery online delivery,Groceries
Earbuds wireless order,Shopping
Air duct cleaning,Utilities
Carrefour supermarket,Groceries
Defensive driving class,Transport
Shawarma roll order,Dining
Waffle house meal,Dining
Avocado toast cafe,Dining
Cereal and oats purchase,Groceries
LPG cylinder refill,Utilities
Butter and jam shop,Groceries
Carpooling contribution,Transport
Solar panel installment,Utilities
Research paper fee,Education
Badminton court booking,Entertainment
Bakery bread purchase,Groceries
Shahi tukray restaurant,Dining
Soup and bread meal,Dining
Bread crumbs buy,Groceries
Audiobook subscription,Entertainment
Yoga mat purchase,Shopping
Darts game pub,Entertainment
Social media course,Education
Soda water grocery,Groceries
Pani puri stall payment,Dining
Security guard fee,Utilities
Lawn collection purchase,Shopping
Puncture repair nearby,Transport
Door bell repair,Utilities
Fitness certificate fee,Transport
Graduation ceremony,Education
Pulmonary function test,Health
Maternity clothes order,Shopping
Zoo entry ticket,Entertainment
Protein powder purchase,Health
Thermometer pharmacy,Health
MEPCO bill payment,Utilities
Mirror replacement car,Transport
Seasonal fruit purchase,Groceries
Tap replacement home,Utilities
Soup stock grocery,Groceries
Home delivery meal,Dining
Reading fest ticket,Entertainment
Electricity prepaid token,Utilities
Petrol station fuel fill,Transport
Car service maintenance,Transport
Air purifier purchase,Shopping
Arcade game tokens,Entertainment
Lunch platter deal,Dining
Esports event ticket,Entertainment
Art class enrollment,Education
Cereal bar grocery,Groceries
Cab to hospital,Transport
Restaurant service charge,Dining
Cybersecurity certification,Education
Wedding dress order,Shopping
Peanut butter jar,Groceries
Novel purchase bookstore,Entertainment
Household staples stock,Groceries
Aquarium visit ticket,Entertainment
Superstore weekly shop,Groceries
Gaming tournament entry,Entertainment
Paragliding activity,Entertainment
Food street visit,Dining
Psychiatrist session,Health
COVID booster dose,Health
Intercom system fee,Utilities
Prepaid gas token,Utilities
Coding for kids class,Education
First aid kit buy,Health
Geyser repair service,Utilities
Sofa cushion purchase,Shopping
Wall clock order,Shopping
Chicken shop weekly,Groceries
Baby stroller purchase,Shopping
Almond milk grocery,Groceries
Vaccination clinic,Health
Bangles and earrings shop,Shopping
Online grocery order,Groceries
Juice and drinks purchase,Groceries
Car pool daily,Transport
Baby food grocery,Groceries
Amazon order clothes,Shopping
Leadership training fee,Education
Roadside chai payment,Dining
Sports coaching fee,Education
Puppet show kids,Entertainment
Pantry restock purchase,Groceries
Art exhibition visit,Entertainment
Mental health therapy,Health
DJ night event,Entertainment
Diploma course fee,Education
Painkiller medicine buy,Health
Bike fuel refill,Transport
Traffic fine payment,Transport
OPD doctor fee,Health
School van fee,Transport
Underground tank clean,Utilities
Scrabble event entry,Entertainment
Ethnic wear store,Shopping
Mobile data bundle,Utilities
Tyre replacement shop,Transport
Government job course,Education
Formal shoes order,Shopping
Curtains and blinds,Shopping
Vehicle inspection fee,Transport
Microwave repair fee,Utilities
Grill house dinner,Dining
Paint wall service,Utilities
School bag purchase,Education
Hepatitis vaccine shot,Health
Gate automation service,Utilities
Rooftop BBQ dinner,Dining
Magazine subscription,Entertainment
Annual school fee,Education
Black pepper grocery,Groceries
Water pump service,Utilities
Khan Academy donation,Education
Academic conference fee,Education
Ice cream parlour,Dining
Ultrasound scan fee,Health
Internship training cost,Education
Storytelling event,Entertainment
Clutch bag purchase,Shopping
Library membership fee,Education
Morning milk delivery,Groceries
Chess class enrollment,Education
Google certification exam,Education
Birthday dinner restaurant,Dining
Deep cleaning service,Utilities
Monthly bus pass,Transport
Italian pasta restaurant,Dining
Kids backpack buy,Shopping
Skincare dermatologist,Health
Power bank purchase,Shopping
Video editing class,Education
Cinepax movie ticket,Entertainment
GRE exam booking,Education
Grocery bag fill up,Groceries
Cap and hat buy,Shopping
Past paper book,Education
Water filter cartridge,Utilities
Grocery delivery Pandamart,Groceries
Textbook online,Education
Chicken broast local,Dining
Ceiling fan service,Utilities
Roasted corn stall,Dining
Ramadan grocery stock,Groceries
Burger joint visit,Dining
Book fair entry,Entertainment
Chana dal purchase,Groceries
Occupational therapy fee,Health
Dessert shop visit,Dining
Weekly grocery run,Groceries
Juice carton purchase,Groceries
Vegetable vendor payment,Groceries
Waffles and crepes cafe,Dining
Soft drink cans,Groceries
Home phone bill,Utilities
Wallet leather purchase,Shopping
Paintball event booking,Entertainment
Rice and lentils bulk buy,Groceries
Kitchen utensils set,Shopping
Biscuits and tea purchase,Groceries
Gas cylinder exchange,Utilities
Dessert after dinner,Dining
Bathroom accessories buy,Shopping
Tennis court fitness,Health
Flour and sugar stock,Groceries
Lebanese food restaurant,Dining
Andaaz restaurant,Dining
Picnic area booking,Entertainment
Sports event ticket,Entertainment
Gym monthly membership,Health
Valet parking fee,Transport
Takeout food order,Dining
Science kit buy,Education
Herbal items grocery,Groceries
Balcony waterproofing,Utilities
Udemy programming class,Education
Thyroid test lab,Health
Embroidered fabric buy,Shopping
Radiator bleed fee,Utilities
Clutch cable replace,Transport
Gym fitness assessment,Health
Garbage collection fee,Utilities
Semester exam fee,Education
Perfume bottle shop,Shopping
Windshield wiper buy,Transport
Ovulation kit pharmacy,Health
A level tuition,Education
Quiz night entry,Entertainment
UPS battery service,Utilities
House rent payment,Utilities
Restaurant family dinner,Dining
Bakery and cafe pastry,Dining
Fitness band purchase,Health
Water connection fee,Utilities
Food delivery tip,Dining
Content writing class,Education
Monthly grocery stock,Groceries
Qehwa and snacks cafe,Dining
Homeopathic doctor visit,Health
Roadside BBQ grill,Dining
Tennis match ticket,Entertainment
Stormfiber internet bill,Utilities
Shower head install,Utilities
Electrician home visit,Utilities
Running club fee,Health
Thyroid ultrasound,Health
Rock climbing gym health,Health
Club sandwich meal,Dining
Lassi shop payment,Dining
Wholesale grocery metro,Groceries
Sehri meal restaurant,Dining
Family restaurant outing,Dining
VR headset rental,Entertainment
E-learning tool fee,Education
Dashboard repair car,Transport
Ride to office Careem,Transport
Daewoo bus ticket,Transport
Egg Benedict brunch,Dining
Short course workshop,Education
Monday lunch out,Transport
Mobile phone top up,Utilities
Sports shoes purchase,Shopping
ECAT test prep,Education
Gynecologist consultation,Health
Alkaram studio purchase,Shopping
Station taxi booking,Transport
Watch store wrist,Shopping
Monthly ration purchase,Groceries
Movie night out,Entertainment
Car AC repair,Transport
Marathon registration,Entertainment
ADSL internet monthly,Utilities
McDonald's dinner,Dining
Evening snack stall,Dining
Olive oil import,Groceries
Drive in cinema,Entertainment
Zumba class fee,Health
Liver biopsy fee,Health
Meat shop butcher payment,Groceries
Corner shop grocery,Groceries
Journal subscription,Education
Typing course fee,Education
Monthly petrol expense,Transport
Flush tank repair,Utilities
Jet ski rental,Entertainment
Physiotherapy session,Health
Domino's pizza delivery,Dining
Board game cafe visit,Entertainment
Street food lahore,Dining
Cooking vinegar buy,Groceries
Globe model purchase,Education
Clothes new season,Shopping
AC maintenance fee,Utilities
Inverter battery charge,Utilities
Health tracking app,Health
Botanical garden visit,Entertainment
Pulses and grains store,Groceries
Office commute daily,Transport
Multivitamin purchase,Health
Drawing board purchase,Education
Chess club membership,Entertainment
Continental restaurant meal,Dining
Water pump electricity,Utilities
Gas bill SNGPL,Utilities
Bone density test,Health
Magic show ticket,Entertainment
Online exam registration,Education
Weekly transport cost,Transport
Green tea grocery,Groceries
Orthopedic doctor visit,Health
Private tutor payment,Education
Pizza slice quick meal,Dining
Canned goods supermarket,Groceries
Tablet device purchase,Shopping
Hair fall dermatologist,Health
Toy store purchase,Entertainment
Subway sandwich lunch,Dining
Minced meat purchase,Groceries
Toll plaza motorway,Transport
Educational subscription,Education
Bowling alley game,Entertainment
Motorbike service check,Transport
PTCL landline bill,Utilities
Film festival ticket,Entertainment
Kheer dessert shop,Dining
Chingchi fare payment,Transport
TOEFL exam fee,Education
IELTS preparation fee,Education
Tyre puncture repair,Transport
Disney Plus subscription,Entertainment
Squash court fee,Entertainment
University cafe meal,Dining
WAPDA electricity bill,Utilities
Boot camp fitness,Health
Wheel alignment shop,Transport
Honey jar purchase,Groceries
GEPCO bill payment,Utilities
Science fair materials,Education
Camping trip fee,Entertainment
Route permit fee,Transport
Printing assignment cost,Education
Dental checkup fee,Health
Horse riding session,Entertainment
Auto rickshaw trip,Transport
Table lamp purchase,Shopping
Shawarma stall payment,Dining
Eye checkup optician,Health
River rafting trip,Entertainment
Karaoke night booking,Entertainment
Desk organizer buy,Shopping
Certification exam fee,Education
Air conditioner service,Utilities
X-ray test payment,Health
FESCO electricity bill,Utilities
Radiator flush service,Transport
Vegetable oil supermarket,Groceries
Twitch subscription,Entertainment
Jewelry store ring,Shopping
Weekend event pass,Entertainment
Saffron spice shop,Groceries
Book club membership,Entertainment
Vegetable delivery online,Groceries
Kulfi stall payment,Dining
Rooh Afza bottle,Groceries
Walmart grocery shopping,Groceries
Blood pressure medicine,Health
Daraz online shopping,Shopping
Netflix monthly subscription,Entertainment
Thesis binding fee,Education
Jazz postpaid monthly,Utilities
Car registration fee,Transport
Smart TV purchase,Shopping
Photography workshop,Entertainment
Toothpaste and soap grocery,Groceries
Screen protector order,Shopping
Steam game purchase,Entertainment
Outdoor movie screening,Entertainment
Sewerage bill payment,Utilities
Assignment printing cost,Education
Encyclopedia purchase,Education
Brake pad replacement,Transport
